testcase_index,trace,Passed/Failed
1,"['t1', 't2', 't4']",Failed
2,"['t1', 't4', 't24', 't1', 't2', 't2']",Passed
3,"['t1', 't4', 't5']",Failed
4,"['t1', 't4']",Failed
5,"['t1', 't4', 't24', 't1', 't2', 't2', 't2']",Passed
6,"['t1', 't2', 't4', 't5']",Failed
7,"['t1', 't4', 't24', 't1', 't2', 't2', 't4', 't24', 't1']",Passed
8,"['t1', 't4', 't5']",Failed
9,"['t1', 't4']",Failed
10,"['t1', 't2', 't4', 't24', 't1', 't2', 't4']",Failed
11,"['t1', 't4', 't5']",Failed
12,"['t1', 't4', 't5']",Failed
13,"['t1', 't4']",Failed
14,"['t1', 't4', 't5']",Failed
15,"['t1', 't2', 't4', 't24', 't1', 't4', 't5']",Failed
16,"['t1', 't2', 't2', 't4']",Failed
17,"['t1', 't4', 't24', 't1', 't2', 't2']",Passed
18,"['t1', 't4', 't5']",Failed
19,"['t1', 't2', 't4', 't24', 't1', 't2']",Passed
20,"['t1', 't2', 't4']",Failed
21,"['t1', 't4']",Failed
22,"['t1', 't2', 't2', 't4']",Failed
23,"['t1', 't4', 't5']",Failed
24,"['t1', 't2', 't4', 't5']",Failed
25,"['t1', 't2', 't4', 't24', 't1', 't4']",Failed
26,"['t1', 't2', 't4', 't5']",Failed
27,"['t1', 't4']",Failed
28,"['t1', 't2', 't2', 't4']",Failed
29,"['t1', 't2', 't4']",Failed
30,"['t1', 't4']",Failed
31,"['t1', 't2', 't4', 't24', 't1', 't4', 't24', 't1']",Passed
32,"['t1', 't4', 't24', 't1', 't4']",Failed
33,"['t1', 't2', 't2', 't4', 't5']",Failed
34,"['t1', 't2', 't4', 't5']",Failed
35,"['t1', 't2', 't4']",Failed
36,"['t1', 't4']",Failed
37,"['t1', 't2', 't4', 't5']",Failed
38,"['t1', 't4']",Failed
39,"['t1', 't2', 't4', 't5']",Failed
40,"['t1', 't2', 't2', 't4', 't5']",Failed
41,"['t1', 't2', 't4', 't5']",Failed
42,"['t1', 't2', 't4']",Failed
43,"['t1', 't2', 't4', 't24', 't1', 't2']",Passed
44,"['t1', 't2', 't4', 't5']",Failed
45,"['t1', 't4', 't24', 't1', 't2', 't2', 't2']",Passed
46,"['t1', 't2', 't4']",Failed
47,"['t1', 't2', 't2', 't4', 't5']",Failed
48,"['t1', 't4', 't5']",Failed
49,"['t1', 't4', 't24', 't1', 't4']",Failed
50,"['t1', 't2', 't4', 't5']",Failed
51,"['t1', 't2', 't4']",Failed
52,"['t1', 't2', 't2', 't4', 't24', 't1']",Passed
53,"['t1', 't4']",Failed
54,"['t1', 't2', 't4', 't24', 't1', 't4']",Failed
55,"['t1', 't4', 't5']",Failed
56,"['t1', 't4', 't5']",Failed
57,"['t1', 't4']",Failed
58,"['t1', 't2', 't2', 't4']",Failed
59,"['t1', 't2', 't4', 't24', 't1', 't4', 't5']",Failed
60,"['t1', 't4', 't5']",Failed
61,"['t1', 't2', 't2', 't4', 't5']",Failed
62,"['t1', 't2', 't4', 't24', 't1', 't4']",Failed
63,"['t1', 't4', 't5']",Failed
64,"['t1', 't2', 't4', 't5']",Failed
65,"['t1', 't4']",Failed
66,"['t1', 't4', 't5']",Failed
67,"['t1', 't2', 't4', 't24', 't1', 't2', 't2', 't2']",Passed
68,"['t1', 't4']",Failed
69,"['t1', 't2', 't2', 't4', 't24', 't1']",Passed
70,"['t1', 't4']",Failed
71,"['t1', 't2', 't4', 't5']",Failed
72,"['t1', 't2', 't2', 't4', 't5']",Failed
73,"['t1', 't2', 't4']",Failed
74,"['t1', 't4', 't24', 't1', 't2', 't2', 't4']",Passed
75,"['t1', 't4']",Failed
76,"['t1', 't4', 't5']",Failed
77,"['t1', 't4', 't24', 't1', 't4']",Failed
78,"['t1', 't4']",Failed
79,"['t1', 't2', 't2', 't4', 't5']",Failed
80,"['t1', 't2', 't4']",Failed
81,"['t1', 't4']",Failed
82,"['t1', 't2', 't4']",Failed
83,"['t1', 't2', 't2', 't4', 't24', 't1', 't2', 't2', 't2']",Passed
84,"['t1', 't2', 't2', 't4', 't24', 't1', 't2']",Passed
85,"['t1', 't4']",Failed
86,"['t1', 't2', 't4', 't24', 't1', 't4', 't24', 't1']",Passed
87,"['t1', 't2', 't4', 't5']",Failed
88,"['t1', 't4']",Failed
89,"['t1', 't4', 't5']",Failed
90,"['t1', 't4', 't24', 't1', 't2', 't2', 't4', 't24', 't1', 't2']",Passed
91,"['t1', 't4', 't5']",Failed
92,"['t1', 't4']",Failed
93,"['t1', 't4', 't5']",Failed
94,"['t1', 't2', 't4', 't5']",Failed
95,"['t1', 't2', 't4', 't5']",Failed
96,"['t1', 't4', 't5']",Failed
97,"['t1', 't4', 't5']",Failed
98,"['t1', 't4', 't5']",Failed
99,"['t1', 't4', 't5']",Failed
100,"['t1', 't4']",Failed
101,"['t1', 't4', 't5']",Failed
